protein_ids,symbol,log2FoldChange,baseMean,padj,GO_id,GO_term
g4481.t1,g4481,0.672946299284687,753.804720751326,9.96613414449694e-05,GO:0016772,"transferase activity, transferring phosphorus-containing groups"
g7042.t2,g7042,0.67289851034552,23490.3274487133,3.65580457025738e-13,GO:0005515,protein binding
g7042.t1,g7042,0.67289851034552,23490.3274487133,3.65580457025738e-13,GO:0016624,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"
g7042.t1,g7042,0.67289851034552,23490.3274487133,3.65580457025738e-13,GO:0006086,pyruvate decarboxylation to acetyl-CoA
g7042.t1,g7042,0.67289851034552,23490.3274487133,3.65580457025738e-13,GO:0005515,protein binding
g7042.t1,g7042,0.67289851034552,23490.3274487133,3.65580457025738e-13,GO:0043231,intracellular membrane-bounded organelle
g7042.t1,g7042,0.67289851034552,23490.3274487133,3.65580457025738e-13,GO:0004739,pyruvate dehydrogenase (acetyl-transferring) activity
g10816.t1,g10816,0.672158069609871,407.057887041834,0.0028538961351547,GO:0003677,DNA binding
g10816.t1,g10816,0.672158069609871,407.057887041834,0.0028538961351547,GO:0006351,DNA-templated transcription
g10816.t1,g10816,0.672158069609871,407.057887041834,0.0028538961351547,GO:0008270,zinc ion binding
g1814.t1,g1814,0.672081022197905,355.624756003168,8.58490923719373e-05,GO:0070461,SAGA-type complex
g10241.t1,g10241,0.672072501677852,6440.70968058969,1.2424047002701398e-11,GO:0003825,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
g10241.t1,g10241,0.672072501677852,6440.70968058969,1.2424047002701398e-11,GO:0005992,trehalose biosynthetic process
g10241.t1,g10241,0.672072501677852,6440.70968058969,1.2424047002701398e-11,GO:0003824,catalytic activity
g412.t1,g412,0.671335481184248,829.647772951407,9.00773642777127e-10,GO:0005515,protein binding
g4875.t2,g4875,0.67091389657037,2103.78180188278,6.78799785949229e-05,nan,
g4875.t1,g4875,0.67091389657037,2103.78180188278,6.78799785949229e-05,GO:0005509,calcium ion binding
g4875.t1,g4875,0.67091389657037,2103.78180188278,6.78799785949229e-05,GO:0005544,calcium-dependent phospholipid binding
g4875.t3,g4875,0.67091389657037,2103.78180188278,6.78799785949229e-05,GO:0005509,calcium ion binding
g4875.t3,g4875,0.67091389657037,2103.78180188278,6.78799785949229e-05,GO:0005544,calcium-dependent phospholipid binding
g7062.t1,g7062,0.670783848322567,18507.7155406269,3.09734429288323e-08,GO:0006412,translation
g7062.t1,g7062,0.670783848322567,18507.7155406269,3.09734429288323e-08,GO:0003723,RNA binding
g7062.t1,g7062,0.670783848322567,18507.7155406269,3.09734429288323e-08,GO:0015935,small ribosomal subunit
g7062.t1,g7062,0.670783848322567,18507.7155406269,3.09734429288323e-08,GO:0003735,structural constituent of ribosome
g5535.t1,g5535,0.670626811195821,977.2888975911,2.48912058150893e-18,GO:0016779,nucleotidyltransferase activity
g5535.t1,g5535,0.670626811195821,977.2888975911,2.48912058150893e-18,GO:0003723,RNA binding
g5535.t1,g5535,0.670626811195821,977.2888975911,2.48912058150893e-18,GO:0006396,RNA processing
g4110.t1,g4110,0.670446966624308,4689.86948497482,7.42118803329348e-10,GO:0016755,aminoacyltransferase activity
g470.t1,g470,0.670388690245014,1336.35941407558,3.39287670914566e-12,nan,
g3644.t1,g3644,0.670312189760659,257.992315886165,6.96429835833569e-05,GO:0055085,transmembrane transport
g5324.t1,g5324,0.669916586642324,756.306903534988,9.24070936986911e-06,GO:0005525,GTP binding
g5324.t1,g5324,0.669916586642324,756.306903534988,9.24070936986911e-06,GO:0003924,GTPase activity
g8980.t1,g8980,0.669437653459873,2172.29819943005,1.961956733419e-14,nan,
g6970.t1,g6970,0.668635619925256,478.920889550036,3.19303645552169e-07,nan,
g7647.t1,g7647,0.668311844816357,9618.03979827538,0.0050977838764072,nan,
g10611.t1,g10611,0.668276385520381,749.539790001375,3.26481595490311e-08,GO:0005515,protein binding
g7531.t1,g7531,0.668083248265088,1018.30507717084,3.68562946668802e-05,nan,
g10184.t1,g10184,0.668016742734619,3919.92029300742,0.0001538691125917,GO:0004037,allantoicase activity
g10184.t1,g10184,0.668016742734619,3919.92029300742,0.0001538691125917,GO:0000256,allantoin catabolic process
g13588.t1,g13588,0.667344420123542,2323.85529332183,2.68409674361199e-08,GO:0003723,RNA binding
g4731.t2,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0005975,carbohydrate metabolic process
g4731.t2,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0004396,hexokinase activity
g4731.t2,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0006096,glycolytic process
g4731.t2,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0001678,intracellular glucose homeostasis
g4731.t2,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0016773,"phosphotransferase activity, alcohol group as acceptor"
g4731.t2,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0005524,ATP binding
g4731.t2,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0005536,D-glucose binding
g4731.t1,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0005975,carbohydrate metabolic process
g4731.t1,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0004396,hexokinase activity
g4731.t1,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0006096,glycolytic process
g4731.t1,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0001678,intracellular glucose homeostasis
g4731.t1,g4731,0.667340354877613,16597.7781298652,1.50151387817317e-16,GO:0016773,"phosphotransferase activity, alcohol group as acceptor"
